freq,waste,unit,geo\TIME_PERIOD	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,W1501,RT,AT	64.5 	64.9 	65.6 	69.4 	64.3 	65.9 	64.2 	66.2 	66.9 	68.4 	67.2 	67.9 	66.9 	66.6 	65.8 	65.9 	66.6 	66.6 	67.1 	66.8 	65.6 	65.5 	65.4 	63.7 
A,W1501,RT,BE	62.3 	63.5 	59.4 	62.5 	71.3 	70.2 	73.9 	76.4 	76.8 	79 	80.4 	78.9 	79.1 	79.8 	80.2 	80.3 	78.7 	81.3 	81.5 	81.9 	83.8 	85.3 	83.5 	79.7 
A,W1501,RT,BG	: 	: 	: 	: 	: 	: 	: 	: 	30.8 	35 	54.8 	50.3 	45.9 	61.6 	65.1 	66.5 	65.7 	62 	64.1 	63.8 	65.6 	60.4 	61.2 	: 
A,W1501,RT,CY	: 	: 	: 	: 	: 	: 	: 	22 	11.1 	25.2 	25.7 	34 e	42.2 	50 	52 	55.3 e	56.6 	58.7 	59.8 	64.6 	66.2 	70.2 	66.8 	59.9 
A,W1501,RT,CZ	: 	: 	: 	: 	: 	: 	51.4 	55.7 	59 	63.4 	65.9 	67.1 	68.8 	70 	69.7 	69.9 	69.9 	73 	74.3 	75.3 	72.3 	69.6 	71.2 	67.9 
A,W1501,RT,DE	80.6 	79.7 	79.2 	78 	75.9 	74.4 	70.6 	69.6 	68.2 	66.5 	66.9 	70.5 	73.5 	72.7 	71.8 	71.3 	71.8 	71.4 	69.3 	70.7 	69.9 	68.5 	63.2 b	68.1 
A,W1501,RT,DK	40.1 	50 	53 	55.7 	57.2 	57.3 	53.8 	53.2 	52.5 	56.2 	56.8 	59.7 	84 	84 e	54.3 be	61.6 e	69.8 	69.8 	73.9 	79 	71.5 	70.1 	70.4 	64 
A,W1501,RT,EE	: 	: 	: 	: 	: 	: 	: 	33.5 	40.3 	45.7 	49.6 	43.5 	57.2 	56.1 	62.9 	61.3 	58.4 	60.3 	59 	56 	53.5 	60.4 	66.2 b	71.4 
A,W1501,RT,EL	37 	34.6 	33.6 	33.3 	33.4 	32.6 	33.1 	36.7 	41.8 	42.8 	48 	43.8 e	52.3 	58.7 	62.1 e	58.6 	52.4 	53.8 	60.3 	66.1 	68.6 	63.6 e	60.1 e	: 
A,W1501,RT,ES	33.5 	33.6 	37.9 	39.8 	43.6 	44.3 	43.1 	47.4 	50.4 	54 	56.3 	59.1 	60.3 	61.9 	63.9 	65.5 	66.6 	68.7 	68.4 	70.3 	68.5 	68.8 	69.6 	68.3 
A,W1501,RT,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	54.7 s	56.8 s	59.1 s	60.4 s	62.6 s	64 s	64.2 s	65.2 	65.4 	66.5 	66.6 	67.6 	67.5 	65.6 	64.6 	64 s
A,W1501,RT,FI	41.7 	44.6 	49.5 	49.8 	47.2 	49.2 	40.8 	39.9 	43.2 	49.1 	51.9 	56.7 	55.5 	55.4 	58.7 	59.3 	58 	57.4 	60.9 	64.7 	65.2 	70.2 	70.6 	73.2 
A,W1501,RT,FR	39.7 	41.5 	42.1 	42.2 	44 	45.4 	47.9 	50.7 	53.3 	54.8 	57 	55.2 	56.4 	61.1 	61.3 	64.9 	66.4 	65.2 	65.5 	66 	68.1 	63.5 	65.6 	60.3 
A,W1501,RT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.7 	58.8 	52.7 	60.1 	54.7 	53.3 	58.4 	48.9 	54.2 
A,W1501,RT,HU	: 	: 	: 	: 	: 	: 	: 	43.3 	45.9 	48.9 	46.4 	50.8 	51.1 	58.7 	59.3 	48.5 	49.2 	48.4 	50.1 	49.7 	49.7 	46.1 	47 	52.4 
