freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,PRIM,AT	: 	: 	: 	549756 	178972 	124144 	: c	136105 	164032 
A,T,HAZ_NHAZ,A,PRIM,BA	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,PRIM,BE	: 	: 	: 	225622 	165463 	298589 	269182 	362508 	417289 
A,T,HAZ_NHAZ,A,PRIM,BG	: 	: 	: 	618107 	903119 	835401 	602031 	289367 	861746 
A,T,HAZ_NHAZ,A,PRIM,CY	: 	: 	: 	129184 	17208 	19584 	19258 	19550 	20026 
A,T,HAZ_NHAZ,A,PRIM,CZ	: 	: 	: 	113598 	195940 	135130 	114552 	410328 b	397349 
A,T,HAZ_NHAZ,A,PRIM,DE	: 	: 	: 	256259 	646151 	434692 	1108610 	975044 	986617 
A,T,HAZ_NHAZ,A,PRIM,DK	: 	: 	: 	158145 	73010 	114474 	200162 	372182 	387266 
A,T,HAZ_NHAZ,A,PRIM,EE	: 	: 	: 	109867 	77295 	115745 	105867 	138087 	195126 
A,T,HAZ_NHAZ,A,PRIM,EL	: 	: 	: 	5073 	9979 	10976 	255164 	403318 	579212 
A,T,HAZ_NHAZ,A,PRIM,ES	: 	: 	: 	5814784 	5494798 	5811535 	6267066 	6253888 	6326217 
A,T,HAZ_NHAZ,A,PRIM,FI	: 	: 	: 	2772031 	3157813 	4471 	0 	0 	0 
A,T,HAZ_NHAZ,A,PRIM,FR	: 	: 	: 	1364218 	1290136 	1274216 	1303642 	1309912 	1289664 
A,T,HAZ_NHAZ,A,PRIM,HR	: 	: 	: 	20198 	75096 	269111 	496153 	550471 	565300 
A,T,HAZ_NHAZ,A,PRIM,HU	: 	: 	: 	415955 	388928 	454145 	474549 	436095 	295108 
A,T,HAZ_NHAZ,A,PRIM,IE	: 	: 	: 	101143 	96251 	96251 	105033 	296865 	275414 
A,T,HAZ_NHAZ,A,PRIM,IS	: 	: 	: 	72071 	82097 	28885 	38357 	47418 	39084 
A,T,HAZ_NHAZ,A,PRIM,IT	: 	: 	: 	299196 	281692 	270023 	289781 	328647 	336533 
A,T,HAZ_NHAZ,A,PRIM,LI	: 	: 	: 	306 	0 	0 	22 	0 	: 
A,T,HAZ_NHAZ,A,PRIM,LT	: 	: 	: 	455856 	481696 	421071 	280614 	293676 	301717 
A,T,HAZ_NHAZ,A,PRIM,LU	: 	: 	: 	2547 	1381 	3094 	30890 	8330 	11445 
A,T,HAZ_NHAZ,A,PRIM,LV	: 	: 	: 	68025 	2767 	36209 	144075 	132746 	104319 
A,T,HAZ_NHAZ,A,PRIM,ME	: 	: 	: 	: 	14144 	10712 	33244 	14749 	10987 
A,T,HAZ_NHAZ,A,PRIM,MK	: 	: 	: 	0 	23 	84366 	40 	0 	121 
A,T,HAZ_NHAZ,A,PRIM,MT	: 	: 	: 	2887 	2708 	3018 	10565 	12292 	11851 
A,T,HAZ_NHAZ,A,PRIM,NL	: 	: 	: 	4682517 	4618778 	4769596 	5085154 	4678683 	4890419 
A,T,HAZ_NHAZ,A,PRIM,NO	: 	: 	: 	195252 	150003 	192189 	161946 	174257 	158562 
A,T,HAZ_NHAZ,A,PRIM,PL	: 	: 	: 	554582 	810390 	491932 	534064 	425604 	265119 
A,T,HAZ_NHAZ,A,PRIM,PT	: 	: 	: 	68829 	63213 	50294 	55513 	62067 	94347 
A,T,HAZ_NHAZ,A,PRIM,RO	: 	: 	: 	608062 	470671 	559573 	507712 	584619 	720130 
A,T,HAZ_NHAZ,A,PRIM,RS	: 	: 	: 	0 	0 	0 	101677 	82473 	89033 
A,T,HAZ_NHAZ,A,PRIM,SE	: 	: 	: 	308946 	273071 	655374 	804382 	962141 e	1045928 e
A,T,HAZ_NHAZ,A,PRIM,SI	: 	: 	: 	141280 	164761 	102716 	63248 	61665 	55730 
A,T,HAZ_NHAZ,A,PRIM,SK	: 	: 	: 	525522 	549325 	574359 	776258 	515781 	552120 
A,T,HAZ_NHAZ,A,PRIM,TR	: 	: 	: 	: 	: 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,PRIM,UK	: 	: 	: 	432795 	610133 	612429 	576195 	616865 	: 
A,T,HAZ_NHAZ,A,PRIM,XK	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,SEC,AT	: 	: 	: 	683 	72 	3980 	: c	3765 	4201 
A,T,HAZ_NHAZ,A,SEC,BA	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,SEC,BE	: 	: 	: 	0 	0 	13246 	8 	0 	12 
A,T,HAZ_NHAZ,A,SEC,BG	: 	: 	: 	0 	0 	0 	15658 	19393 	31017 
A,T,HAZ_NHAZ,A,SEC,CY	: 	: 	: 	0 	: 	: 	195 	234 	1130 
A,T,HAZ_NHAZ,A,SEC,CZ	: 	: 	: 	85 	123 	183 	23 	1206 b	692 
A,T,HAZ_NHAZ,A,SEC,DE	: 	: 	: 	13 	2718 	4137 	17524 	7062 	17715 
A,T,HAZ_NHAZ,A,SEC,DK	: 	: 	: 	30956 	2215 	3208 	1486 	1796 	2232 
A,T,HAZ_NHAZ,A,SEC,EE	: 	: 	: 	6 	109 	5933 	8079 	108 	132 
A,T,HAZ_NHAZ,A,SEC,EL	: 	: 	: 	0 	0 	0 	5 	62801 	65072 
A,T,HAZ_NHAZ,A,SEC,ES	: 	: 	: 	1846 	1660 	5904 	4398 	4363 	4434 
A,T,HAZ_NHAZ,A,SEC,FI	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,FR	: 	: 	: 	: 	0 	: 	0 	0 	1566 
A,T,HAZ_NHAZ,A,SEC,HR	: 	: 	: 	: 	0 	: 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,HU	: 	: 	: 	71700 	71119 	66816 	9771 	13512 	44 
A,T,HAZ_NHAZ,A,SEC,IE	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,IT	: 	: 	: 	11716 	126287 	53495 	31147 	3907 	11968 
A,T,HAZ_NHAZ,A,SEC,LI	: 	: 	: 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,A,SEC,LT	: 	: 	: 	0 	12 	0 	11 	0 	5 
A,T,HAZ_NHAZ,A,SEC,LU	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,LV	: 	: 	: 	0 	0 	0 	0 	0 	28962 
A,T,HAZ_NHAZ,A,SEC,ME	: 	: 	: 	: 	0 	0 	46 	0 	0 
A,T,HAZ_NHAZ,A,SEC,MK	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,NL	: 	: 	: 	0 	0 	87 	95 	16 	6129 
A,T,HAZ_NHAZ,A,SEC,NO	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,PL	: 	: 	: 	48890 	74035 	174 	867 	5896 	16000 
A,T,HAZ_NHAZ,A,SEC,PT	: 	: 	: 	0 	2 	0 	7 	6 	0 
A,T,HAZ_NHAZ,A,SEC,RO	: 	: 	: 	0 	85 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,SEC,SE	: 	: 	: 	0 	0 	0 	0 	0 	0 
